"FID" "IID" "SOL" "C1" "C2" "C3" "C4" "HYPER" "SEX" "NALT" "NMIN" "NHET" "NVAR" "RATE" "SING" "TITV" "PASS" "PASS_S" "QUAL" "DP" "REF.dbsnp" "G.DP" "NRG.DP"
"93" "AT0549" "." 0 0.0984754 0.171922 0.0542782 -0.133426 1 1 79 46 24 835 0.969803 0 1.875 38 0 667107 48708 0.826087 52.3737 101.975
"94" "AT0552" "." 0 0.145795 -0.00240676 0.108587 -0.0706113 1 1 85 60 42 838 0.973287 0 1.85714 52 0 788516 51754.2 0.95 43.0279 76.8824
"95" "AT0553" "." 0 0.0746975 0.164691 -0.00721735 0.0487892 2 1 89 61 39 851 0.988386 1 2.8125 46 1 626718 46960.2 0.967213 46.625 84.5955
"96" "AT0560" "." 0 -0.0950589 -0.0972804 -0.107743 -0.0791379 1 2 72 39 36 835 0.969803 0 1.78571 35 0 725103 47715.5 0.923077 43.2576 81.3611
"97" "AT0570" "." 0 -0.207209 0.0168746 0.0705786 -0.0357817 1 2 75 44 36 849 0.986063 0 1.75 31 0 588386 43173.2 1 40.3159 68.24
"98" "AT0571" "." 0 0.222927 -0.0625775 -0.0407272 -0.15077 1 1 81 55 36 835 0.969803 1 1.5 44 1 652444 47391.7 0.836364 45.3597 84.5309
"99" "AT0578" "." 0 0.0587661 -0.0156634 0.0208453 0.117241 1 2 98 77 70 850 0.987224 0 1.85185 63 0 748589 48856.9 0.987013 49.6581 91.3673
"100" "AT0579" "." 0 0.058992 -0.0427305 -0.0944219 -0.0961767 1 2 90 60 52 853 0.990708 0 1.72727 45 0 613221 46237.2 0.9 43.2471 70.4
"101" "AT0587" "." 0 0.05097 -0.0841301 -0.0396797 -0.0824931 1 2 83 54 47 850 0.987224 0 2 38 0 623891 45150.6 0.907407 41.3037 65.3735
"102" "AT0588" "." 0 -0.101494 -0.0936809 0.00668896 -0.0212219 2 1 90 58 52 848 0.984901 0 1.7619 43 0 656826 45063.3 0.931034 37.7448 58.5778
"103" "AT0604" "." 0 0.042988 -0.0680604 0.0453888 -0.0705755 2 1 79 43 38 835 0.969803 0 1.52941 37 0 651841 48995.2 0.906977 40.5303 66.8608
"104" "AT0607" "." 0 0.0720643 -0.145438 0.0764166 -0.0245274 1 2 94 63 54 834 0.968641 0 1.73913 55 0 708401 47714.3 0.904762 50.1676 97.6383
"105" "AT0612" "." 0 -0.0951001 -0.111 -0.107068 -0.0824977 2 2 70 35 28 827 0.960511 0 1.69231 30 0 654522 48356.5 0.914286 41.1495 74.2
"106" "AT0613" "." 0 0.220068 -0.0597899 -0.0389317 -0.154722 2 2 75 49 26 828 0.961672 0 1.45 42 0 706355 49716 0.918367 44.3283 84.3867
"107" "AT0620" "." 0 -0.205586 0.086625 -0.045185 -0.0397853 1 1 82 52 44 850 0.987224 0 1.47619 38 0 697584 48500.6 0.903846 46.888 89.6707
"108" "AT0626" "." 0 -0.0751555 -0.241975 -0.142277 -0.114364 1 1 60 27 8 838 0.973287 0 0.928571 23 0 642903 47066 0.925926 42.8021 81.65
"109" "AT0631" "." 0 -0.154592 -0.0223758 -0.0294371 -0.0891907 1 1 58 23 16 845 0.981417 0 1.3 12 0 434968 35399.3 0.869565 41.6148 76.2241
"110" "AT0635" "." 0 0.0259446 -0.0686221 0.0477874 -0.0807789 1 2 77 41 38 828 0.961672 0 1.5625 34 0 640029 46474.9 0.902439 45.175 84.9351
"111" "AT0639" "." 0 0.115212 0.00750058 0.0838501 -0.118311 1 1 85 58 40 853 0.990708 0 1.9 39 0 634752 44875.6 0.87931 38.3562 57.3765
"112" "AT0641" "." 0 -0.0688666 -0.236714 -0.0999405 -0.0901311 2 1 76 45 33 855 0.993031 0 1.64706 32 0 540127 41582.5 0.866667 42.1397 75.1711
"113" "AT0644" "." 0 0.0105596 -0.0372986 0.077867 -0.0566943 1 1 88 53 47 834 0.968641 1 2.53333 43 0 630281 48285 0.830189 51.6904 107.966
"114" "AT0650" "." 0 0.21234 -0.051856 -0.0393962 0.0243988 1 1 83 52 34 833 0.96748 0 1.73684 47 0 689701 49300.5 0.980769 36.085 53.0241
"115" "AT0651" "." 0 -0.0235155 0.137669 0.0057706 -0.0913003 2 1 77 39 27 834 0.968641 1 1.78571 31 1 603511 50349.1 0.74359 46.3193 90.4805
"116" "AT0653" "." 0 0.134285 0.110992 -0.0350297 -0.129476 1 2 69 50 25 848 0.984901 1 1.63158 36 0 808652 48380.8 0.96 38.5816 62.0435
"117" "AT0655" "." 0 -0.0687712 0.0917981 0.115992 -0.042654 1 2 71 38 35 830 0.963995 0 1.92308 33 0 838844 54757.5 0.947368 42.3089 80.2113
"118" "AT0658" "." 0 -0.184593 0.0787403 -0.0169154 0.1086 1 2 70 36 26 832 0.966318 0 3 30 0 744676 51273.4 0.888889 38.6624 64.9143
"119" "AT0660" "." 0 0.0348061 -0.0703082 0.0622786 -0.0345676 1 2 85 58 49 852 0.989547 0 1.52174 47 0 760976 48938.7 0.948276 48.8555 88.6
"120" "AT0665" "." 0 -0.154592 -0.0223758 -0.0294371 -0.0891907 2 1 63 28 19 846 0.982578 0 1.15385 16 0 389705 37439.9 0.785714 34.6973 53.3492
"121" "AT0667" "." 0 -0.172247 -0.130636 0.107952 -0.0346398 1 2 70 36 33 836 0.970964 0 1.76923 30 0 730178 48855.7 0.833333 48.4826 103.6
